Size Level.sav: 47488751 bytes
Now checking the data...
Now counting pals...
Now populating the information...
Inactive Guild: Unnamed Guild | Guild ID: e1e17eca-4260-9ba2-6360-8c9fd0b651dc | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: a7565711-4ceb-f2f6-4a2e-f6bfa794ddaa | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 7f103641-476d-3aeb-7129-bf9733f25bff | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 1a19f157-4b83-a084-854c-5ca16e97c287 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 838968d1-42d1-f807-14d2-b79eb0cb353f | Reason: No players found.
Inactive Guild: F0XHOUND | Guild ID: c8c1546d-4aec-ea93-b821-d4846dc3c381 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 777ecad1-4667-2f81-baea-83a092d2c27d | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: a09f47a3-432d-6747-5457-73a4e4028ff0 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: aad3a7b9-4e31-2527-6eb7-10b2421ab39b | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: b35547ac-4e39-e796-8385-98b72c4a3001 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 4d9ce3e1-4c4c-65c6-9e12-f48b88e5ffcc | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: bd7a3879-488e-4f5b-0151-1ead8982ac3a | Reason: No players found.
Inactive Guild: Salvation | Guild ID: e009ddee-4732-ae42-7f7e-0a8f30c85105 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 6d802e8b-430e-09a9-fea4-b2b2cd6d0e23 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 941f9e90-4dcf-a84b-fa05-45aabebaf60a | Reason: No players found.
Inactive Guild: Chicken Wings | Guild ID: 041ff1d4-4af6-94af-5b5b-70a2f540ce7b | Reason: No players found.
Inactive Guild: Team Rocket | Guild ID: f322d2a9-41e7-de18-45ed-6eb68cb07850 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 3b263a18-4659-5896-1112-61b715ae8fca | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 23c48944-4355-051e-f67c-6cab9841ff2c | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: c93dec2c-4f35-b84a-73fd-75b64e1207c3 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 4a1c4f30-4f18-6f75-95d2-09aebeffaca0 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 48b65dce-4cb5-63da-a0a5-b2a8e55dcc2c | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: c6ad9440-4b00-945d-017d-f088275ffe52 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 37f2a81b-4ed0-3700-8fa2-f2a4f73cb26a | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: a4befb67-46b2-cd7d-35d6-84b3d81f5435 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 74a079cc-4ea5-91c3-2558-5c91b7bdbef3 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 9de642ed-485e-cdff-ed58-7c938a7dc9ae | Reason: No players found.
Inactive Guild: The Boxx | Guild ID: 6fceece7-44e3-9b89-7a10-478fe2b3ef25 | Reason: No players found.
Inactive Guild: Unnamed Guild | Guild ID: 33c10db9-4519-197d-75e7-ed8ab473e5da | Reason: No players found.
